Name,Region,IslandGroup,QuarantineType,DateFrom,DateTo,Ref,RefDate,Note
Ilocos Norte,Region I,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,Recommendations assuming similar risk-classification prevails on 2020-05-14
Ilocos Sur,Region I,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,
La Union,Region I,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,Recommendations assuming similar risk-classification prevails on 2020-05-14
Pangasinan,Region I,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,
Dagupan City,Region I,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,Recommendations assuming similar risk-classification prevails on 2020-05-14
Marinduque,Region IV-B,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,
Occidental Mindoro,Region IV-B,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,
Oriental Mindoro,Region IV-B,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,
Romblon,Region IV-B,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,
Palawan,Region IV-B,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,
Puerto Princesa City,Region IV-B,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,
Albay,Region V,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,Recommendations assuming similar risk-classification prevails on 2020-05-14
Camarines Norte,Region V,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,
Camarines Sur,Region V,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,
Catanduanes,Region V,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,
Masbate,Region V,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,
Sursogon,Region V,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,
Legazpi City,Region V,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,Recommendations assuming similar risk-classification prevails on 2020-05-14
Naga City,Region V,Luzon,None,2020-05-16,,IATF RN35,2020-05-11,
Aklan,Region VI,Visayas,None,2020-05-16,,IATF RN35,2020-05-11,
Antique,Region VI,Visayas,None,2020-05-16,,IATF RN35,2020-05-11,
Capiz,Region VI,Visayas,None,2020-05-16,,IATF RN35,2020-05-11,
Guimaraz,Region VI,Visayas,None,2020-05-16,,IATF RN35,2020-05-11,
Iloilo,Region VI,Visayas,None,2020-05-16,,IATF RN35,2020-05-11,
Negros Occidental,Region VI,Visayas,None,2020-05-16,,IATF RN35,2020-05-11,
Iloilo City,Region VI,Visayas,None,2020-05-16,,IATF RN35,2020-05-11,
Bacolod City,Region VI,Visayas,None,2020-05-16,,IATF RN35,2020-05-11,
Biliran,Region VIII,Visayas,None,2020-05-16,,IATF RN35,2020-05-11,
Eastern Samar,Region VIII,Visayas,None,2020-05-16,,IATF RN35,2020-05-11,
Leyte,Region VIII,Visayas,None,2020-05-16,,IATF RN35,2020-05-11,
Norther Samar,Region VIII,Visayas,None,2020-05-16,,IATF RN35,2020-05-11,
Western Samar,Region VIII,Visayas,None,2020-05-16,,IATF RN35,2020-05-11,
Southern Leyte,Region VIII,Visayas,None,2020-05-16,,IATF RN35,2020-05-11,
Ormoc City,Region VIII,Visayas,None,2020-05-16,,IATF RN35,2020-05-11,
Tacloban City,Region VIII,Visayas,None,2020-05-16,,IATF RN35,2020-05-11,
Bukidnon,Region X,Mindanao,None,2020-05-16,,IATF RN35,2020-05-11,
Camiguin,Region X,Mindanao,None,2020-05-16,,IATF RN35,2020-05-11,
Lanao del Norte,Region X,Mindanao,None,2020-05-16,,IATF RN35,2020-05-11,
Misamis Occidental,Region X,Mindanao,None,2020-05-16,,IATF RN35,2020-05-11,
Cagayan de Oro City,Region X,Mindanao,None,2020-05-16,,IATF RN35,2020-05-11,
North Cotabato,Region XII,Mindanao,None,2020-05-16,,IATF RN35,2020-05-11,
South Cotabato,Region XII,Mindanao,None,2020-05-16,,IATF RN35,2020-05-11,
Sarangani,Region XII,Mindanao,None,2020-05-16,,IATF RN35,2020-05-11,
Sultan Kudarat,Region XII,Mindanao,None,2020-05-16,,IATF RN35,2020-05-11,
General Santos City,Region XII,Mindanao,None,2020-05-16,,IATF RN35,2020-05-11,
Basilan,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Mindanao,None,2020-05-16,,IATF RN35,2020-05-11,
Lanao de Sur,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Mindanao,None,2020-05-16,,IATF RN35,2020-05-11,
Maguindanao,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Mindanao,None,2020-05-16,,IATF RN35,2020-05-11,
Sulu,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Mindanao,None,2020-05-16,,IATF RN35,2020-05-11,
Tawi-Tawi,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Mindanao,None,2020-05-16,,IATF RN35,2020-05-11,
Cotabato City,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Mindanao,None,2020-05-16,,IATF RN35,2020-05-11,
Abra,Cordiller Autonomous Region (CAR),Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Apayao,Cordiller Autonomous Region (CAR),Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Benguet,Cordiller Autonomous Region (CAR),Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Ifugao,Cordiller Autonomous Region (CAR),Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Kalinga,Cordiller Autonomous Region (CAR),Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Mountain Province,Cordiller Autonomous Region (CAR),Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Baguio City,Cordiller Autonomous Region (CAR),Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Batanes,Region II,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Cagayan,Region II,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Isabela,Region II,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Nueva Viscaya,Region II,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Quirino,Region II,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Santiago City,Region II,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Aurora,Region III,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Bataan,Region III,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Bulacan,Region III,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Nueva Ecija,Region III,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Pampanga,Region III,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Tarlac,Region III,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Zambales,Region III,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Angeles City,Region III,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,Recommendations assuming similar risk-classification prevails on 2020-05-14
Olongapo City,Region III,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Cavite,Region IV-A,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,Recommendations assuming similar risk-classification prevails on 2020-05-14
Quezon,Region IV-A,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Rizal,Region IV-A,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Batangas,Region IV-A,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Lucena City,Region IV-A,Luzon,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Bohol,Region VIII,Visayas,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Cebu,Region VIII,Visayas,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Negros Oriental,Region VIII,Visayas,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Siquijor,Region VIII,Visayas,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Mandaue City,Region VIII,Visayas,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Lapu-Lapu City,Region VIII,Visayas,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Zamboanga del Norte,Region IX,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Zamboanga del Sur,Region IX,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Zamboanga Sibugay,Region IX,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Zamboanga City,Region IX,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Isabela City,Region IX,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Davao City,Region XI,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,Recommendations assuming similar risk-classification prevails on 2020-05-14
Davao de Oro,Region XI,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,Recommendations assuming similar risk-classification prevails on 2020-05-14
Davao del Norte,Region XI,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Davao del Sur,Region XI,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Davao Occidental,Region XI,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Davao Oriental,Region XI,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Agusan del Norte,Region XIII,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Agusan del Sur,Region XIII,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Dinagat Islands,Region XIII,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Surigao del Norte,Region XIII,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Surigao del Sur,Region XIII,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Butuan City,Region XIII,Mindanao,GCQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Laguna,Region IV-A  (CALABARZON),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
City of Mandaluyong,National Capital Region (NCR),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
City of Marikina,National Capital Region (NCR),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
City of Pasig,National Capital Region (NCR),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Quezon City,National Capital Region (NCR),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
City of San Juan,National Capital Region (NCR),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Caloocan City,National Capital Region (NCR),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
City of Malabon,National Capital Region (NCR),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
City of Navotas,National Capital Region (NCR),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
City of Valenzuela,National Capital Region (NCR),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
City of Las Piñas,National Capital Region (NCR),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
City of Makati,National Capital Region (NCR),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
City of Muntinlupa,National Capital Region (NCR),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
City of Parañaque,National Capital Region (NCR),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Pasay City,National Capital Region (NCR),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Pateros,National Capital Region (NCR),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
City of Taguig,National Capital Region (NCR),Luzon,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
Cebu City,Region VII  (CENTRAL VISAYAS),Visayas,MECQ,2020-05-16,2020-05-31,IATF RN35,2020-05-11,
